Modelo,Accuracy,Precision,Recall,F1,AUC
Logistic Regression,0.6386333771353482,0.6399119554013201,0.6386333771353483,0.6384061779016937,0.6879474033332411
Decision Tree,0.5978975032851511,0.6019804152134258,0.5978975032851511,0.5957894552386032,0.6238426245819628
Random Forest,0.621222076215506,0.6219107163701219,0.6212220762155058,0.6211685645392858,0.6721850729664741
GBT,0.6110381077529566,0.6121441435128729,0.6110381077529566,0.610820441674532,0.6599279058760122
